raw_name,raw_prefix,model,category,provider,prompt_type,temperature,fine_tuned,distribution,size,vectorizer,f1_macro,precision,recall,accuracy,fleiss_kappa,mean_cohen_kappa,consistency_all_runs
tfidf__equal__500__SVM_pred,,SVM,ML,,,,,equal,500.0,tfidf,0.7981438515081206,0.8113207547169812,0.7853881278538812,0.826,,,
tfidf__equal__500__XGBoost_pred,,XGBoost,ML,,,,,equal,500.0,tfidf,0.7168894289185905,0.7662337662337663,0.6735159817351598,0.767,,,
tfidf__real__100__RandomForest_pred,,RandomForest,ML,,,,,real,100.0,tfidf,0.7025171624713958,0.7041284403669725,0.7009132420091324,0.74,,,
tfidf__real__100__LogisticRegression_pred,,LogisticRegression,ML,,,,,real,100.0,tfidf,0.7820646506777894,0.7197696737044146,0.8561643835616438,0.791,,,
tfidf__real__100__KNeighbors_pred,,KNeighbors,ML,,,,,real,100.0,tfidf,0.7196467991169978,0.6965811965811965,0.7442922374429224,0.746,,,
tfidf__real__100__NaiveBayes_pred,,NaiveBayes,ML,,,,,real,100.0,tfidf,0.7473002159827213,0.7090163934426229,0.7899543378995434,0.766,,,
tfidf__real__100__SVM_pred,,SVM,ML,,,,,real,100.0,tfidf,0.7733619763694952,0.7302231237322515,0.821917808219178,0.789,,,
tfidf__real__100__XGBoost_pred,,XGBoost,ML,,,,,real,100.0,tfidf,0.645398773006135,0.6976127320954907,0.6004566210045662,0.711,,,
tfidf__real__1000__RandomForest_pred,,RandomForest,ML,,,,,real,1000.0,tfidf,0.799554565701559,0.7804347826086957,0.819634703196347,0.82,,,
tfidf__real__1000__LogisticRegression_pred,,LogisticRegression,ML,,,,,real,1000.0,tfidf,0.8497297297297297,0.8069815195071869,0.8972602739726028,0.861,,,
tfidf__real__1000__KNeighbors_pred,,KNeighbors,ML,,,,,real,1000.0,tfidf,0.7400215749730313,0.7014314928425358,0.7831050228310502,0.759,,,
tfidf__real__1000__NaiveBayes_pred,,NaiveBayes,ML,,,,,real,1000.0,tfidf,0.831638418079096,0.8232662192393736,0.8401826484018264,0.851,,,
tfidf__real__1000__SVM_pred,,SVM,ML,,,,,real,1000.0,tfidf,0.8434782608695652,0.8049792531120332,0.8858447488584474,0.856,,,
tfidf__real__1000__XGBoost_pred,,XGBoost,ML,,,,,real,1000.0,tfidf,0.8158765159867696,0.7889125799573561,0.8447488584474886,0.833,,,
tfidf__real__2000__RandomForest_pred,,RandomForest,ML,,,,,real,2000.0,tfidf,0.7889125799573561,0.74,0.8447488584474886,0.802,,,
tfidf__real__2000__LogisticRegression_pred,,LogisticRegression,ML,,,,,real,2000.0,tfidf,0.8503253796095445,0.8099173553719008,0.8949771689497716,0.862,,,
tfidf__real__2000__KNeighbors_pred,,KNeighbors,ML,,,,,real,2000.0,tfidf,0.7126137841352406,0.8277945619335347,0.6255707762557078,0.779,,,
tfidf__real__2000__NaiveBayes_pred,,NaiveBayes,ML,,,,,real,2000.0,tfidf,0.8348623853211009,0.8387096774193549,0.8310502283105022,0.856,,,
